index(611),angle,range,intensity
331,194.41,1032.0,0.0
332,195.00,1003.0,0.0
333,195.59,978.0,0.0
334,196.17,955.0,0.0
335,196.77,932.0,0.0
336,197.31,935.0,0.0
337,197.95,888.0,0.0
338,198.58,851.0,0.0
339,199.17,822.0,0.0
340,199.78,792.0,0.0
341,200.39,763.0,0.0
342,201.02,738.0,0.0
343,201.63,717.0,0.0
344,202.23,694.0,0.0
345,202.84,672.0,0.0
346,203.47,653.0,0.0
347,204.08,636.0,0.0
348,204.67,619.0,0.0
349,205.28,603.0,0.0
350,205.89,587.0,0.0
351,206.50,571.0,0.0
352,207.13,556.0,0.0
353,207.66,558.0,0.0
354,208.22,559.0,0.0
355,208.77,561.0,0.0
356,209.31,563.0,0.0
357,209.84,566.0,0.0
358,210.41,566.0,0.0
359,211.05,543.0,0.0
360,211.72,520.0,0.0
361,212.31,509.0,0.0
362,212.92,499.0,0.0
363,213.52,490.0,0.0
364,214.13,480.0,0.0
365,214.73,470.0,0.0
366,215.34,461.0,0.0
367,215.95,452.0,0.0
368,216.56,444.0,0.0
369,217.16,436.0,0.0
370,217.77,428.0,0.0
371,218.38,420.0,0.0
372,218.98,413.0,0.0
373,219.58,407.0,0.0
374,220.19,400.0,0.0
375,220.80,393.0,0.0
376,221.41,387.0,0.0
377,222.00,382.0,0.0
378,222.61,376.0,0.0
379,223.20,371.0,0.0
380,223.81,366.0,0.0
381,224.41,361.0,0.0
382,225.02,356.0,0.0
383,225.61,351.0,0.0
384,226.22,347.0,0.0
385,226.80,343.0,0.0
386,227.41,339.0,0.0
387,227.97,335.0,0.0
388,228.55,332.0,0.0
389,229.14,328.0,0.0
390,229.75,324.0,0.0
391,230.33,321.0,0.0
392,230.94,317.0,0.0
393,231.53,314.0,0.0
394,232.11,311.0,0.0
395,232.72,308.0,0.0
396,233.30,305.0,0.0
397,233.89,303.0,0.0
398,234.48,300.0,0.0
399,235.06,297.0,0.0
400,235.66,295.0,0.0
401,236.25,292.0,0.0
402,236.84,290.0,0.0
403,237.42,288.0,0.0
404,238.00,286.0,0.0
405,238.61,283.0,0.0
406,239.19,281.0,0.0
407,239.78,279.0,0.0
408,240.36,277.0,0.0
409,240.95,275.0,0.0
410,241.52,274.0,0.0
411,242.09,272.0,0.0
412,242.69,270.0,0.0
413,243.27,268.0,0.0
414,243.84,267.0,0.0
415,244.44,265.0,0.0
416,245.02,263.0,0.0
417,245.59,262.0,0.0
418,246.16,261.0,0.0
419,246.77,259.0,0.0
420,247.33,258.0,0.0
421,247.89,257.0,0.0
422,248.48,255.0,0.0
423,249.06,254.0,0.0
424,249.64,253.0,0.0
425,250.20,252.0,0.0
426,250.78,251.0,0.0
427,251.41,249.0,0.0
428,251.95,249.0,0.0
429,252.53,248.0,0.0
430,253.11,247.0,0.0
431,253.69,246.0,0.0
432,254.25,245.0,0.0
433,254.84,244.0,0.0
434,255.41,243.0,0.0
435,255.98,242.0,0.0
436,256.55,242.0,0.0
